Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бандера,Вікторія,Миронівна,Жінка,1962.04.09,Музикант,місто Городенка,"узвіз Панченка, буд. 319, Золоте, 82251",057 593-18-11,onysym70@example.com
Сич,Аліна,Силуанівна,Жінка,1979.09.21,Ботанік,селище Білогірськ,"шосе Академіка Корольова, буд. 317 кв. 32, Київ, 73355",166 95 92,viktor40@example.net
Терещенко,Клавдія,Афанасіївна,Жінка,1975.03.20,Євнух,місто Білгород-Дністровський,"провулок Високий, буд. 058 кв. 7, Пустомити, 91456",921 79 72,prymachenkonataliia@example.org
Швайка,Тимофій,Юхиміанівна,Чоловік,1981.03.07,Історик,місто Кілія,"узвіз Бузковий, буд. 821, Алушта, 16558",096 080-18-03,rpalii@example.net
Охримович,Гаврило,Іоаннівна,Чоловік,2001.10.18,Дипломат,селище Енергодар,"шосе Глазунова, буд. 709, Бердянськ, 63919",032 536-72-84,roberemko@example.org
Єременко,Борис,Вікторівич,Чоловік,1950.11.06,Бухгалтер,хутір Ніжин,"узвіз Аполона Скальковського, буд. 7, Заводське, 25970",+380 68 696 91 67,bohuslavbatih@example.com
Ажажа,Адам,Григоріївич,Чоловік,1973.09.07,Шериф,село Богуслав,"проспект Лінія 54-та, буд. 518 кв. 2, Вуглегірськ, 81526",054 683 32 33,cfranchuk@example.org
Засенко,Євген,Савеліївна,Чоловік,1965.09.23,Футболіст,село Тлумач,"провулок Дунаєвського 3-й, буд. 9 кв. 10, Боярка, 59978",622-26-00,odarka41@example.com
Бабенко,Єфрем,Миронівна,Чоловік,1950.11.05,Промисловець,хутір Середина-Буда,"узвіз Сєрова, буд. 05, Роздільна, 22742",043 043-14-68,fivashchenko@example.org
Ємельяненко,Розалія,Левівна,Жінка,2000.11.28,Локсмайстер,село Жовква,"вулиця Люстдорфська дорога, буд. 058, Шпола, 45306",524 04 93,hlib88@example.net
Гречко,Альбіна,Вітольдівна,Жінка,1960.06.18,Пілот,селище Старокостянтинів,"парк Пересипський 1-й, буд. 5 кв. 862, Бровари, 13028",069 867 88 74,nishchenko@example.org
Каденюк,Святослава,Вітольдівна,Жінка,1972.04.19,Прокурор,хутір Звенигородка,"площа Лінія 38-ма, буд. 0, Дебальцеве, 18125",001 68 19,maksymhavrylyshyn@example.com
Щербак,Клавдія,Всеславівна,Жінка,1979.10.07,Гірничий інженер,село Бердичів,"парк Асєєва Юрія, буд. 12, Городенка, 70829",+380 90 694 49 31,artem33@example.org
Барабаш,Леонтій,Дорофіївна,Чоловік,1973.08.16,Ботанік,місто Корець,"проспект Паустовського, буд. 4, Костопіль, 14129",306-70-44,shelestvarvara@example.com
Стельмах,Ярослав,Юріївна,Чоловік,1990.11.10,Педагог,село Корець,"вулиця Кострова, буд. 0 кв. 07, Волочиськ, 58315",627 10 71,epiddubnyi@example.org
Павличенко,Трохим,Антігонівна,Чоловік,1956.05.09,Модель,хутір Батурин,"вулиця Ясна, буд. 411 кв. 8, Дніпро , 98164",750 71 69,gruban@example.com
Христич,Варфоломій,Тихонівна,Чоловік,1959.10.25,Композитор,місто Глухів,"сквер Одеський, буд. 06, Стебник, 02058",+380 (88) 055-63-15,dereviankovolodymyra@example.net
Гайда,Пармен,Дорофіївна,Чоловік,1972.08.30,Редактор,місто Новомиргород,"проспект Космонавтів, буд. 88 кв. 81, Рогатин, 45277",744 98 79,myroslavdutka@example.com
Іващенко,Ігор,Мелентіївна,Чоловік,1954.07.06,Психолог,хутір Феодосія,"узвіз Крилова, буд. 3, Олевськ, 03439",437 39 70,liliia00@example.org
Негода,Галина,Мстиславівна,Жінка,1982.04.12,Біолог,місто Петрово-Красносілля,"парк Білоруська, буд. 3, Верхівцеве, 85231",+380 10 861-72-27,virabatiuk@example.net
Щербань,Дарина,Миронівна,Жінка,1986.11.16,Кінорежисер,хутір Красногорівка,"провулок Леонова, буд. 50 кв. 469, Білицьке, 79657",+380 (68) 603-52-75,lshvedchenko@example.com
Цюцюра,Софія,Антігонівна,Жінка,2003.07.27,Адвокат,хутір Острог,"шосе Сталепрокатна, буд. 3 кв. 08, Стрий, 85784",+380 44 392-08-62,rmatiash@example.com
Ажажа,Лариса,Всеволодівна,Жінка,1961.12.16,Адвокат,селище Долинська,"площа Дорожня, буд. 41 кв. 87, Чугуїв, 13558",033 76 95,xpylypenko@example.org
Гайденко,Демид,Ярославівна,Чоловік,1977.09.04,Фольклорист,село Олександрія,"провулок Стеценко, буд. 79 кв. 43, Миронівка, 44042",+380 69 843-65-60,fkolodub@example.net
Авдєєнко,Соломон,Антігонівна,Чоловік,1978.08.02,Головний меркшейдер,село Дубляни,"провулок Богуна, буд. 01, Полонне, 37175",+380 45 030-23-76,marianakonoplenko@example.org
Ісаєнко,Болеслав,Ярославівна,Чоловік,1993.09.11,Філолог,село Ірміно,"провулок Інглезі, буд. 39 кв. 0, Донецьк, 53839",083 481 47 26,shtepairena@example.com
Затула,Азар,Антінович,Чоловік,1968.03.08,Пекар,хутір Ірміно,"сквер Транспортна, буд. 5 кв. 3, Городок, 52925",+380 (95) 491-16-40,herman49@example.org
Аврамчук,Ігор,Назаріївна,Чоловік,1985.05.13,Професор,селище Тисмениця,"узвіз Травневий, буд. 58, Лутугине, 34220",677 93 01,vatamaniukhlib@example.com
Василевич,Ігнат,Мар’янівна,Чоловік,1990.05.07,Дерун,село Мукачево,"провулок Морський 2-й, буд. 8, Бобровиця, 59382",+380 (84) 297-99-04,anzhela50@example.com
Гаврилишин,Маруся,Юхиміанівна,Жінка,2000.11.08,Піаніст,село Подільськ,"шосе Василя Симоненка, буд. 887, Миргород, 31075",080 32 96,iukhym20@example.com
Івасюк,Златослава,Болеславівна,Жінка,1983.12.23,Каскадер,місто Жданівка,"парк Лодочний, буд. 488, Севастополь, 71307",+380 55 620 21 12,cherednykzorian@example.com
Гайденко,Софія,Тихонівна,Жінка,1955.09.16,Письменник,місто Київ,"вулиця Штабний, буд. 01 кв. 669, Нове Давидково, 10190",951-14-81,oleksa75@example.org
Артюшенко,Соломія,Макарович,Жінка,1959.08.17,Епідеміолог,хутір Жмеринка,"шосе Ключовий 2-й, буд. 21, Батурин, 55168",+380 (81) 121-32-91,maryna55@example.com
Баранник,Мартин,Агапіївна,Чоловік,1968.02.01,Круп'є,село Ужгород,"набережна Достоєвського, буд. 0 кв. 76, Заліщики, 17158",057 763 30 55,les30@example.net
Чорновіл,Феофан,Несторович,Чоловік,1985.01.29,Антрополог,село Перечин,"площа Флотський 3-й, буд. 0 кв. 23, Світлодарськ, 47914",+380 (14) 756-46-69,bohodar46@example.net
Гаврилів,Едуард,Васильович,Чоловік,1997.06.25,Журналіст,місто Корсунь-Шевченківський,"парк Левітана, буд. 0, Решетилівка, 20652",404-69-11,iustyna96@example.net
Бабак,Миколай,Корнеліївна,Чоловік,1956.01.06,Пілот,місто Перемишляни,"набережна Перепечка, буд. 804 кв. 40, Прилуки, 40326",454-29-89,vlasiukleopold@example.org
Хорішко,Аарон,Болеславівна,Чоловік,1993.12.08,Промисловець,селище Київ,"провулок Аеропортівський 2-й, буд. 17 кв. 3, Буринь, 93364",+380 14 521-30-22,viacheslavhupalo@example.com
Овчаренко,Зиновій,Горгоніївна,Чоловік,1986.08.19,Фотограф,селище Першотравенськ,"узвіз Маразліївська, буд. 2, Острог, 23145",075 458-35-80,bohuslavtokar@example.com
Батіг,Оксана,Спартаківна,Жінка,1983.12.17,Будник,село Хотин,"площа Комітетська, буд. 967 кв. 435, Вуглегірськ, 07952",018 591 46 39,edanko@example.com
Гресь,Марина,Дмитрович,Жінка,1995.06.07,Композитор,місто Дрогобич,"шосе Ямчитського, буд. 483, Підгайці, 85836",360 42 61,kdutka@example.net
Оніщук,Одарка,Лаврінівна,Жінка,1955.08.14,Електрослюсар,хутір Бориспіль,"сквер Локомотивний 1-й, буд. 8 кв. 13, Козятин, 31561",045 173 68 54,pylyparkhymovych@example.net
Фурс,Ольга,Антонович,Жінка,1952.09.05,Паблік рилейшнз,хутір Південне ,"шосе Супутників, буд. 49 кв. 81, Мирноград, 23928",+380 58 607 90 56,rverhun@example.org
Чорновіл,Роман,Альбертівна,Чоловік,2002.02.18,Стропальник,селище Суходільськ,"сквер Володимира Вінниченка, буд. 5, Нетішин, 41343",+380 (27) 132-97-69,derehusserhii@example.net
Лагода,Євген,Ісааківна,Чоловік,1957.05.30,Електрик,хутір Зоринськ,"площа Весела, буд. 381 кв. 4, Комарно, 07192",+380 07 615-02-15,sychsemen@example.net
Сацюк,Євген,Євстахіївна,Чоловік,1995.03.09,Музикант,місто Дубляни,"провулок Монастирський, буд. 421, Гайворон, 55274",041 920-29-21,trokhym91@example.com
Рудько,Амвросій,Давидович,Чоловік,1991.03.28,Публіцист,місто Оріхів,"провулок Академіка Вільямса, буд. 889 кв. 1, Корюківка, 54331",+380 (90) 559-84-99,iustyna35@example.net
Ткаченко,Юстим,Феофанівна,Чоловік,1994.11.22,Маркетолог,місто Обухів,"проспект Лінія 50-та, буд. 36, Покровськ, 39322",+380 (87) 226-84-87,qiarema@example.com
Скоробогатько,Арсен,Мар’янівна,Чоловік,1953.05.22,Медик,хутір Євпаторія,"набережна Проектна 2-га, буд. 6, Кремінна, 68077",723-86-02,svatamaniuk@example.com
Тягнибок,Алла,Юрійович,Жінка,1969.11.01,Льотчик,хутір Нова Одеса,"проспект Псковський, буд. 40, Бобровиця, 15359",064 360 71 71,nataliia82@example.org
Цибуленко,Володимира,Тихонівна,Жінка,1982.03.31,Кінокритик,хутір Павлоград,"набережна Цегляна, буд. 6, Слов'янськ, 85507",+380 05 275-59-38,datsenkostanislav@example.com
Асаула,Василина,Федорович,Жінка,1969.06.08,Кінокритик,село Камінь-Каширський,"площа Аграрна, буд. 8, Дніпрорудне, 81951",+380 65 190 74 34,aronetsihor@example.com
Бездітко,Варвара,Марківна,Жінка,1994.04.14,Реставратор,селище Самбір,"сквер Улітіна, буд. 00 кв. 4, Івано-Франківськ, 39240",051 990 28 45,idanko@example.com
Засуха,Йосип,Мстиславович,Чоловік,2005.03.29,Швачка,селище Рава-Руська,"набережна 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 892 кв. 781, Мерефа, 43761",990 86 56,zlemeshko@example.net
Ковпак,Теодор,Іпатіївна,Чоловік,1968.01.31,Соціолог,місто Дубно,"провулок Васнецова, буд. 4 кв. 6, Жовті Води, 90594",+380 (84) 196-27-60,viktor70@example.com
Адаменко,Варфоломій,Юхиміанівна,Чоловік,1963.04.26,Модельєр,місто Підгайці,"парк 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 347 кв. 90, Горішні Плавні, 14399",+380 08 536-50-70,uiukhymenko@example.net
Дахно,Орест,Іпатіївна,Чоловік,1993.03.31,Кушнір,місто Коростень,"провулок Лінія 55-та, буд. 7 кв. 433, Армянськ, 10210",587-16-55,oksanababko@example.org
Єщенко,Олекса,Даніїлівна,Чоловік,1993.02.23,Астронавт,село Попасна,"вулиця Алмазна, буд. 9, Ананьїв, 09726",+380 (91) 577-79-20,fonyshchenko@example.net
Гоголь-Яновський,Прохір,Олексійович,Чоловік,1987.11.01,Бібліотекар,хутір Почаїв,"площа Онілової, буд. 69 кв. 974, Новодністровськ, 93621",+380 36 668 06 53,heorhii44@example.com
Барабаш,Емілія,Антігонівна,Жінка,2005.10.12,Пекар,село Авдіївка,"парк Довженка, буд. 45 кв. 498, Мирноград, 49953",492-13-05,heorhii54@example.org
Безбородьки,Любов,Дмитрович,Жінка,1958.06.20,Акушер,село Новомиргород,"проспект Розумовський 2-й, буд. 7 кв. 917, Павлоград, 11735",367-81-54,dashenkovalentyna@example.com
Ґоляш,Богданна,Миронівна,Жінка,1986.07.10,Парфюмер,село Валки ,"шосе Лінія 51-ша, буд. 74, Кальміуське, 45256",000 149 28 85,haidaburaoksana@example.org
Заруба,Єва,Юстиніанівна,Жінка,1957.10.22,Гінеколог,місто Сторожинець,"проспект Дмитрія Донського, буд. 3, Батурин, 17539",080 007 92 77,ruslan96@example.org
Матвієнко,Назар,Миронівна,Чоловік,1969.01.14,Фізик,селище Кривий Ріг,"узвіз Балківська, буд. 16, Золочів, 30758",032-33-82,aleksiuknadiia@example.net
Терещенко,Пармен,Антігонівна,Чоловік,2001.01.22,Мовознавець,селище Слов'янськ,"проспект Дюківський сад, буд. 9 кв. 168, Ірміно, 62407",+380 32 666-00-72,iryna90@example.com
Оліфіренко,Ілля,Володиславівна,Чоловік,1984.11.20,Петрограф,селище Миргород,"провулок Лінія 46-та, буд. 8, Снігурівка, 21231",027 229-05-84,demianchukpylyp@example.net
Охримович,Онисим,Герасимівна,Чоловік,1997.03.08,Намотувальник,селище Довжанськ,"вулиця Петрашевського, буд. 259 кв. 2, Христинівка, 82531",+380 73 091 37 24,zorian16@example.net
Безбородьки,Максим,Валентинівна,Чоловік,1975.05.23,Громадський діяч,хутір Лохвиця,"набережна Водопровідна, буд. 73, Ворожба, 59017",872-28-95,derkachteodor@example.net
Їжак,Павло,Юхимівна,Чоловік,1955.11.14,Електротехнік,село Василівка ,"провулок Бугаївська, буд. 1 кв. 572, Шаргород, 58851",946-20-02,saliizynovii@example.com
Артюшенко,Оксенія,Іпатіївна,Жінка,1982.06.23,Кінокритик,хутір Бердянськ,"вулиця Віцеадмірала Жукова, буд. 090, Нова Каховка, 18123",073 51 59,irena84@example.com
Захаренко,Софія,Глібівна,Жінка,1966.08.27,Соціолог,місто Берестечко,"парк Прорізна, буд. 595 кв. 50, Дрогобич, 84007",056-44-29,nikoliukdemian@example.org
Атрощенко,Маруся,Герасимівна,Жінка,1962.03.16,Правник,місто Мирноград,"проспект Миколи Бажана, буд. 796, Новий Розділ, 97362",+380 (90) 451-24-87,kostapchuk@example.org
Чміль,Анжела,Феофанівна,Жінка,2000.06.06,Піаніст,місто Дніпрорудне,"парк Львівська, буд. 1 кв. 57, Жмеринка, 91817",+380 (06) 816-57-37,oleshodunok@example.org
Гузій,Артем,Всеволодівна,Чоловік,1975.05.13,Кіноактор,село Ясинувата,"провулок Кладовищний, буд. 11, Ніжин, 44593",069 232 36 11,symon35@example.org
Демʼянюк,Соломон,Володимирівна,Чоловік,1966.11.08,Маркетолог,село Ровеньки,"шосе Бахчева, буд. 57, Мукачево, 16638",+380 18 711-68-56,liza54@example.net
Байрак,Мирослав,Євстахіївна,Чоловік,1983.07.12,Ветеринар,місто Донецьк,"проспект Лобачевського, буд. 7, Трускавець, 05776",025 828-92-52,vsvystun@example.com
Їжак,Леон,Марківна,Чоловік,1989.03.04,Нотаріус,селище Вовчанськ,"вулиця Шишкіна 2-й, буд. 128, Лисичанськ, 67167",745-76-28,ovasylenko@example.com
Базилевич,Владислав,Єфремівна,Чоловік,1972.04.02,Ріелтор,хутір Бобровиця,"сквер Косвена, буд. 19 кв. 6, Знам'янка, 47855",+380 25 537-94-31,viacheslavmoskal@example.com
Атаманчук,Устим,Гордіївна,Чоловік,1957.02.12,Кінокритик,хутір Тисмениця,"парк Східчастий, буд. 6 кв. 5, Жовті Води, 23710",041 702-16-05,leontii65@example.org
Цушко,Соломія,Ростиславівна,Жінка,1993.01.14,Прокурор,місто Новгород-Сіверський,"вулиця Шоста, буд. 5 кв. 035, Боярка, 21633",+380 64 532 80 53,iashchukeduard@example.org
Адамчук,Галина,Несторович,Жінка,1957.01.01,Археолог,хутір Борислав,"сквер Толбухіна, буд. 1 кв. 98, Новодружеськ, 25879",+380 86 873-33-64,yieroshenko@example.net
Джус,Єва,Юхимівна,Жінка,2003.10.02,Конструктор,хутір Сокаль,"проспект Олександра Вронського, буд. 15 кв. 2, Батурин, 95002",+380 49 694-56-94,iskoryk@example.org
Єфименко,Василина,Володимирівна,Жінка,1980.01.28,Доцент,хутір Гуляйполе,"сквер Остапа Вишні, буд. 0, Кадіївка, 66058",+380 20 339 68 66,symonvitruk@example.com
Демʼянюк,Соломон,Артемівна,Чоловік,1976.02.21,Фольклорист,село Дебальцеве,"парк 14-та ст. Великого Фонтану пляж, буд. 1 кв. 74, Сулимівка (Слов'янськ), 83940",+380 (83) 552-90-13,ezakharenko@example.net
Сагаль,Яків,Олексійович,Чоловік,1951.02.26,Менеджер,село Краматорськ,"вулиця Просьолочна, буд. 2, Красногорівка, 74824",007 208 95 27,ishchenkohanna@example.com
Худяк,Стефан,Гордіївна,Чоловік,1971.06.09,Секретар,село Новогродівка,"набережна Леваневського, буд. 08 кв. 537, Луцьк, 10308",+380 23 943-25-28,lestovstukha@example.org
Саченко,Болеслав,Антігонівна,Чоловік,1998.04.09,Конструктор,село Святогірськ,"площа Єнісейська, буд. 19 кв. 9, Євпаторія, 73997",073 690-85-47,albertdzyndra@example.net
Вахній,Борислав,Єфросинівна,Чоловік,1999.02.14,Соціолог,село Вільногірськ,"набережна Бітумна, буд. 70 кв. 3, Снятин, 75133",094 193-26-53,marusiabakumenko@example.org
Ісаєнко,Тимофій,Миронівна,Чоловік,2007.10.06,Ґрунтознавець,селище Олевськ,"узвіз Овідіопольська дуга, буд. 4 кв. 176, Зоринськ, 89131",478-28-22,bohodar48@example.org
Христич,Єва,Гаврилівна,Жінка,1957.10.26,Гицель,село Борислав,"парк Навігаційний, буд. 54, Семенівка, 93128",+380 89 288-44-29,baranykleon@example.com
Абрагамовський,Сніжана,Васильович,Жінка,2005.12.23,Фрілансер,хутір Покровськ,"провулок Монастирський, буд. 10 кв. 330, Брянка, 91607",028 631-28-06,feofanvenhrynovych@example.com
Скирда,Роксолана,Феодорівна,Жінка,1986.11.14,Ботанік,місто Ужгород,"шосе Топольського, буд. 32, Мирноград, 92353",+380 73 614-45-00,vakulenkooryna@example.org
Франко,Камілла,Олесьович,Жінка,1952.02.14,Зоолог,селище Новоселиця,"провулок Наявний 7-й, буд. 8 кв. 5, Сорокине, 51953",683-28-59,andriienkoolena@example.org
Теличенко,Валерій,Костянтинівна,Чоловік,1982.08.26,Євнух,хутір Біла Церква,"шосе Місячна, буд. 28 кв. 543, Ківерці, 62466",065-35-43,demianenkomykyta@example.com
Якименко,Михайло,Михайлович,Чоловік,1969.01.04,Композитор,село Добропілля,"узвіз Дністровська, буд. 90, Южноукраїнськ, 51405",+380 29 772 50 70,markosyrotenko@example.org
Кальченко,Степан,Дорофіївна,Чоловік,1966.03.31,Патологоанатом,хутір Збараж,"набережна Шишкіна, буд. 70, Нова Одеса, 97652",871 97 19,orynaiarosh@example.net
Дашенко,Мирон,Лідійовна,Чоловік,1980.07.10,Перекладач,хутір Обухів,"провулок Степана Олійника узвіз, буд. 3, Золоте, 02642",559 87 59,nosenkosymon@example.net
Христенко,Теодор,Маркелівна,Чоловік,1979.07.30,Пілот,хутір Ясинувата,"проспект Качалова, буд. 4, Первомайський , 25565",629 58 57,oryna18@example.com
Сацюк,Яків,Всеславівна,Чоловік,1960.10.28,Редактор,хутір Прилуки,"набережна Москеті, буд. 01 кв. 72, Полонне, 95189",+380 55 420-52-48,oleh01@example.com
Байдак,Емілія,Варфоломійович,Жінка,2005.08.17,Паблік рилейшнз,хутір Нововолинськ,"провулок Танфільєва, буд. 632 кв. 924, Кременець, 72461",731 96 54,viktoriiakhmara@example.com
Артимишин,Богуслава,Лаврентіївна,Жінка,1963.01.30,Будник,хутір Стрий,"шосе Новоселів, буд. 3 кв. 032, Вишневе , 11179",872 51 34,mariiafranko@example.org
Дуплій,Мілена,Леонідович,Жінка,1972.04.25,Археолог,село Сіверськ,"парк Прорізна, буд. 5 кв. 953, Антрацит , 87996",+380 57 052-65-32,dnalyvaiko@example.net
Венгринович,Анжела,Феофанівна,Жінка,1983.11.03,Секретар,село Ірпінь,"сквер Спортивний, буд. 937, Вижниця, 95910",058 223-91-47,orysia86@example.net
Редько,Миколай,Леонідович,Чоловік,1960.12.16,Ґрунтознавець,хутір Марганець ,"узвіз Балтський 2-й, буд. 03 кв. 49, Жданівка, 11692",045 907 28 93,ieroshenkosolomon@example.org
Гречаник,Віктор,Аркадіївна,Чоловік,2000.04.17,Водій,село Ялта,"сквер Басейний 1-й, буд. 335, Стебник, 63081",022 213-37-96,liza93@example.net
Ярош,Борислав,Іоаннівна,Чоловік,1972.09.21,Режисер,село Судак ,"площа Четверта, буд. 7, Красногорівка, 52564",+380 (85) 587-39-93,somkoserhii@example.net
Сірченко,Вадим,Михайлович,Чоловік,1956.12.22,Менеджер,селище Дергачі,"площа Гагаріна, буд. 62 кв. 43, Миронівка, 10831",091 669-45-61,prokhir71@example.com
Жайворон,Ігор,Варфоломійович,Чоловік,1957.10.28,Палеонтолог,селище Шахтарськ,"шосе Сонячна, буд. 32, Прилуки, 18185",+380 23 597-08-08,rubankhoma@example.org
Гук,Марко,Корнеліївна,Чоловік,1962.02.20,Математик,селище Дубно,"парк Перша, буд. 30, Острог, 82840",+380 (96) 098-65-29,panas08@example.org
Василевич,Едита,Спартаківна,Жінка,1964.12.28,Ювелір,місто Верхівцеве,"проспект Кільцева, буд. 1 кв. 9, Білогірськ, 08994",+380 17 859-54-75,isemenchenko@example.net
Козак,Анастасія,Симонівна,Жінка,2003.07.23,Співак,хутір Вараш,"провулок Мічманський 2-й, буд. 50 кв. 11, Соснівка , 58669",004 421-61-42,sviatoslavievtushok@example.org
Баранець,Богданна,Лідійовна,Жінка,1997.05.26,Візажист,селище Тальне,"площа Волна тупик, буд. 98 кв. 502, Васильків, 10235",967 58 00,igoliash@example.org
Павлик,Святослава,Несторович,Жінка,1968.12.04,Шериф,хутір Дубно,"сквер Палубна, буд. 821 кв. 17, Володимир-Волинський, 23522",089 123 41 34,ilchenkohryhorii@example.com
Венгринович,Зорян,Андриянівна,Чоловік,1968.04.27,Геолог,хутір Старокостянтинів,"набережна Юхима Геллера, буд. 44 кв. 72, Прилуки, 14217",594 04 82,mykolai26@example.com
Чміль,Єфрем,Альбертівна,Чоловік,1986.04.28,Біолог,місто Городенка,"набережна Рибальська, буд. 6 кв. 71, Коростишів, 62076",+380 (56) 811-22-80,udovenkoemiliia@example.org
Бабʼяк,Володимир,Спартаківна,Чоловік,1973.05.15,Менеджер,село Любомль,"проспект Басейний 1-й, буд. 87 кв. 8, Рубіжне, 47499",+380 (38) 642-19-57,rkorsun@example.org
Демʼяненко,Климент,Вадимівна,Чоловік,1988.05.18,Продюсер,село Красногорівка,"набережна Лінія 27-ма, буд. 60 кв. 68, Лутугине, 40427",+380 57 186 87 36,tykhyivitalii@example.org
Савенко,Левко,Мартінівна,Чоловік,2006.04.09,Соціолог,селище Каховка,"проспект Виноградна, буд. 298 кв. 51, Привілля, 77177",430-49-63,halynavertyporokh@example.net
Авраменко,Тимофій,Вітольдівна,Чоловік,1951.03.21,Фотограф,селище Ладижин,"парк Олександрівський, буд. 401 кв. 8, Попасна, 51388",+380 38 009-73-92,medvedenkoboleslav@example.com
Влох,Анастасія,Миронівна,Жінка,1957.06.30,Гірничий інженер,хутір Жмеринка,"набережна Васнецова, буд. 82, Новоукраїнка, 36254",218 79 52,volodymyraarkhymovych@example.net
Ґерета,Михайлина,Костянтинівна,Жінка,1995.05.26,Стоматолог,місто Мостиська,"сквер Флотський 4-й, буд. 17 кв. 9, Переяслав, 93495",786 16 61,tymchenkoiustyna@example.com
Пʼятаченко,Єлисавета,Мірілівна,Жінка,1958.07.21,Електротехнік,хутір Балта,"шосе Леваневського, буд. 6 кв. 06, Горішні Плавні, 09252",078 265-95-30,demydzatula@example.net
Приймак,Ада,Казимирівна,Жінка,1969.06.28,Соціолог,село Миколаїв,"шосе Куниці, буд. 4 кв. 086, Баранівка, 85287",022 945-40-87,zorian17@example.com
Івасюк,Соломон,Савеліївна,Чоловік,1976.05.30,Кур'єр,селище Пологи ,"вулиця Чорноморка, буд. 6, Ромни, 05665",830 46 82,lesprytula@example.org
Короленко,Августин,Васильович,Чоловік,1961.06.20,Гірник,місто Новий Буг,"провулок Виноградний тупик, буд. 031 кв. 1, Городок, 15965",008 194-38-76,anitataran@example.org
Кабалюк,Зиновій,Іларіонівна,Чоловік,1988.08.18,Візажист,місто Герца,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Болград, 07464",+380 55 680-32-05,anton12@example.com
Сірченко,Мирон,Олексійович,Чоловік,1958.08.12,Фермер,селище Лубни,"проспект Уманська, буд. 0 кв. 154, Голубівка, 86238",+380 05 780-98-28,albinashvaika@example.org
Андрійчук,Юстим,Даніїлівна,Чоловік,1991.08.18,Музичний редактор,селище Тростянець,"сквер Тарутинська, буд. 077 кв. 2, Глобине, 88804",002 917 34 50,ievasomko@example.org
Акуленко,Мартин,Юхиміанівна,Чоловік,1999.06.06,Модель,хутір Ірпінь,"шосе Сєрогодського, буд. 616, Червоноград, 99713",+380 08 274-05-60,larysa10@example.com
Жаліло,Марʼяна,Мстиславович,Жінка,1958.06.27,Зоолог,місто Шумськ,"площа Буніна, буд. 05, Курахове, 19933",047 778 97 40,hieroshenko@example.net
Усик,Одарка,Глібівна,Жінка,2007.09.14,Фермер,хутір Хмельницький,"парк Пiвденний, буд. 3 кв. 8, Чистякове, 24441",+380 83 167-99-87,boleslaviukhymenko@example.org
Дзюба,Мілена,Євстахіївна,Жінка,1960.03.31,Стоматолог,селище Гребінка,"парк Юрія Олеші, буд. 731 кв. 7, Жмеринка, 52743",+380 66 407-01-03,bchekaliuk@example.net
Баштан,Соломія,Анікітівна,Жінка,1979.07.26,Хореограф,село Чорнобиль,"провулок Політкаторжан, буд. 80 кв. 9, Червоносів, 87030",091 307 31 84,kovsiienko@example.org
Приходько,Леонтій,Григоріївич,Чоловік,1998.02.28,Науковець,село Інкерман,"провулок Бородінська, буд. 9, Нове Давидково, 62993",467-27-49,umanetsborys@example.net
Гайденко,Трохим,Марківна,Чоловік,1972.02.01,Електрослюсар,хутір Вільногірськ,"сквер Пироговська, буд. 48 кв. 343, Мена , 42927",+380 (82) 902-91-39,okarpa@example.org
Сіробаба,Євген,Левівна,Чоловік,1977.12.30,Журналіст,хутір Таврійськ,"площа Аеродромний 3-й, буд. 2, Подільськ, 50031",087 070 65 54,deinekodmytro@example.org
Шевченко,Аркадій,Натанович,Чоловік,1978.07.18,Флорист,село Сніжне,"провулок Розумовський 2-й, буд. 8, Сорокине, 65047",092 163-62-00,derhachboryslav@example.net
Бгиденко,Симон,Миронівна,Чоловік,1958.09.13,Бухгалтер,місто Кодима,"вулиця Яружний, буд. 7, Хирів, 19176",+380 02 488-69-59,onysym06@example.com
Бабенко,Віталій,Лідійовна,Чоловік,1959.02.12,Акушер,селище Васильків,"площа Івана Франка, буд. 5, Хмільник, 91138",144-46-78,viacheslavkarpa@example.com
Бабійчук,Данна,Іпатіївна,Жінка,1955.08.10,Модельєр,хутір Нова Каховка,"проспект Кладовищний, буд. 43, Перещепине, 18833",535-67-88,tymofiiieshchenko@example.org
Шаблій,Альбіна,Анікітівна,Жінка,1993.05.07,Архітектор,село Сторожинець,"узвіз Матроська Слобідка, буд. 5, Авдіївка, 05289",671-53-90,atroshchenkoostap@example.com
Фоменко,Ліза,Лаврінівна,Жінка,1968.02.19,Детектив,місто Березань ,"шосе Макова, буд. 208 кв. 5, Апостолове, 13269",307-09-06,zlatoslavaartiushenko@example.com
Сімашкевич,Єлисавета,Силуанівна,Жінка,1970.05.13,Зоолог,хутір Фастів,"набережна Мельницька, буд. 120, Ладижин, 16543",+380 74 953-45-15,davyd18@example.org
Чередник,Леопольд,Назаріївна,Чоловік,1978.02.02,Електротехнік,село Городенка,"набережна Різовська, буд. 86, Березне, 98779",+380 18 979-30-31,iosyp73@example.org
Байдак,Геннадій,Ярославівна,Чоловік,1969.08.29,Фізик,хутір Тальне,"узвіз Овідіопольська дуга, буд. 7, Рожище, 60658",243-46-53,panteleimoniemelianenko@example.net
